Time Analysis Roofline Report
Models : AlexNet, MobileNetV2, ResNet101, VGG16
HW     : Raspberry Pi 4, Raspberry Pi 5, Apple M4, Arduino Nicla Vision
dtype  : float32  |  mode : inference
========================================================================================================================

  Model Summary
+-------------+----------------------+-----------+-----------+---------+-------------+------------+-----------+------------+------------+
| Model       | Hardware             | W (FLOPs) | Q (Bytes) | I (F/B) | Y (FLOPs/s) | T_compute  | T_memory  | T_actual   | Bottleneck |
+-------------+----------------------+-----------+-----------+---------+-------------+------------+-----------+------------+------------+
| AlexNet     | Raspberry Pi 4       | 1.43G     | 253.8M    | 5.634   | 48.00G      | 29.786 ms  | 9.914 ms  | 29.786 ms  | compute    |
| AlexNet     | Raspberry Pi 5       | 1.43G     | 253.8M    | 5.634   | 38.40G      | 37.232 ms  | 4.957 ms  | 37.232 ms  | compute    |
| AlexNet     | Apple M4             | 1.43G     | 253.8M    | 5.634   | 676.03G     | 2.115 ms   | 2.115 ms  | 2.115 ms   | compute    |
| AlexNet     | Arduino Nicla Vision | 1.43G     | 253.8M    | 5.634   | 1.92G       | 744.649 ms | 16.523 ms | 744.649 ms | compute    |
| MobileNetV2 | Raspberry Pi 4       | 621.0M    | 170.1M    | 3.651   | 48.00G      | 12.938 ms  | 6.644 ms  | 12.938 ms  | compute    |
| MobileNetV2 | Raspberry Pi 5       | 621.0M    | 170.1M    | 3.651   | 38.40G      | 16.172 ms  | 3.322 ms  | 16.172 ms  | compute    |
| MobileNetV2 | Apple M4             | 621.0M    | 170.1M    | 3.651   | 438.14G     | 1.417 ms   | 1.417 ms  | 1.417 ms   | compute    |
| MobileNetV2 | Arduino Nicla Vision | 621.0M    | 170.1M    | 3.651   | 1.92G       | 323.444 ms | 11.073 ms | 323.444 ms | compute    |
| ResNet101   | Raspberry Pi 4       | 15.66G    | 661.3M    | 23.686  | 48.00G      | 326.327 ms | 25.832 ms | 326.327 ms | compute    |
| ResNet101   | Raspberry Pi 5       | 15.66G    | 661.3M    | 23.686  | 38.40G      | 407.908 ms | 12.916 ms | 407.908 ms | compute    |
| ResNet101   | Apple M4             | 15.66G    | 661.3M    | 23.686  | 2.84T       | 5.511 ms   | 5.511 ms  | 5.511 ms   | compute    |
| ResNet101   | Arduino Nicla Vision | 15.66G    | 661.3M    | 23.686  | 1.92G       | 8.158 s    | 43.054 ms | 8.158 s    | compute    |
| VGG16       | Raspberry Pi 4       | 30.97G    | 783.4M    | 39.536  | 48.00G      | 645.287 ms | 30.603 ms | 645.287 ms | compute    |
| VGG16       | Raspberry Pi 5       | 30.97G    | 783.4M    | 39.536  | 38.40G      | 806.609 ms | 15.302 ms | 806.609 ms | compute    |
| VGG16       | Apple M4             | 30.97G    | 783.4M    | 39.536  | 4.60T       | 6.733 ms   | 6.529 ms  | 6.733 ms   | compute    |
| VGG16       | Arduino Nicla Vision | 30.97G    | 783.4M    | 39.536  | 1.92G       | 16.132 s   | 51.005 ms | 16.132 s   | compute    |
+-------------+----------------------+-----------+-----------+---------+-------------+------------+-----------+------------+------------+


  Top-10 Layer Summary
+------+-------------+-----------------+---------------------+-----------+----------+---------------------------+---------------------------+---------------------+---------------------------------+
| Rank | Model       | Type            | Layer               | W (FLOPs) | I (F/B)  | T_actual [Raspberry Pi 4] | T_actual [Raspberry Pi 5] | T_actual [Apple M4] | T_actual [Arduino Nicla Vision] |
+------+-------------+-----------------+---------------------+-----------+----------+---------------------------+---------------------------+---------------------+---------------------------------+
| 1    | AlexNet     | Conv2d          | features.3          | 448.0M    | 226.7323 | 9.334 ms                  | 11.668 ms                 | 97.399 us           | 233.353 ms                      |
| 2    | AlexNet     | Linear          | classifier.1        | 75.5M     | 0.4998   | 5.901 ms                  | 2.950 ms                  | 1.259 ms            | 39.324 ms                       |
| 3    | AlexNet     | ReLU            | features.1          | 194K      | 0.1250   | 60.500 us                 | 30.250 us                 | 12.907 us           | 100.833 us                      |
| 4    | AlexNet     | MaxPool         | features.2          | 187K      | 0.1942   | 37.540 us                 | 18.770 us                 | 8.009 us            | 97.200 us                       |
| 5    | AlexNet     | AdaptiveAvgPool | avgpool             | 9K        | 0.1250   | 2.880 us                  | 1.440 us                  | 614.40 ns           | 4.800 us                        |
| 1    | MobileNetV2 | Conv2d          | features.18.0       | 40.1M     | 20.5639  | 836.267 us                | 1.045 ms                  | 16.267 us           | 20.907 ms                       |
| 2    | MobileNetV2 | Linear          | classifier.1        | 2.6M      | 0.4989   | 200.512 us                | 100.256 us                | 42.776 us           | 1.334 ms                        |
| 3    | MobileNetV2 | BatchNorm       | features.2.conv.0.1 | 2.4M      | 0.2500   | 376.350 us                | 188.175 us                | 80.288 us           | 1.254 ms                        |
| 4    | MobileNetV2 | ReLU            | features.2.conv.0.2 | 1.2M      | 0.1250   | 376.320 us                | 188.160 us                | 80.282 us           | 627.200 us                      |
| 1    | ResNet101   | Conv2d          | conv1               | 236.0M    | 61.2899  | 4.917 ms                  | 6.147 ms                  | 51.310 us           | 122.931 ms                      |
| 2    | ResNet101   | Linear          | fc                  | 4.1M      | 0.4991   | 320.632 us                | 160.316 us                | 68.402 us           | 2.134 ms                        |
| 3    | ResNet101   | BatchNorm       | bn1                 | 1.6M      | 0.2500   | 250.900 us                | 125.450 us                | 53.525 us           | 836.267 us                      |
| 4    | ResNet101   | ReLU            | relu                | 803K      | 0.1250   | 250.880 us                | 125.440 us                | 53.521 us           | 418.133 us                      |
| 5    | ResNet101   | MaxPool         | maxpool             | 803K      | 0.2000   | 156.800 us                | 78.400 us                 | 33.451 us           | 418.133 us                      |
| 6    | ResNet101   | AdaptiveAvgPool | avgpool             | 2K        | 0.0050   | 16.000 us                 | 8.000 us                  | 3.413 us            | 26.667 us                       |
| 1    | VGG16       | Conv2d          | features.2          | 3.70G     | 143.3011 | 77.137 ms                 | 96.422 ms                 | 804.910 us          | 1.928 s                         |
| 2    | VGG16       | Linear          | classifier.0        | 205.5M    | 0.4998   | 16.062 ms                 | 8.031 ms                  | 3.426 ms            | 107.044 ms                      |
| 3    | VGG16       | ReLU            | features.1          | 3.2M      | 0.1250   | 1.004 ms                  | 501.760 us                | 214.084 us          | 1.673 ms                        |
| 4    | VGG16       | MaxPool         | features.4          | 3.2M      | 0.2000   | 627.200 us                | 313.600 us                | 133.803 us          | 1.673 ms                        |
| 5    | VGG16       | AdaptiveAvgPool | avgpool             | 25K       | 0.1250   | 7.840 us                  | 3.920 us                  | 1.673 us            | 13.067 us                       |
+------+-------------+-----------------+---------------------+-----------+----------+---------------------------+---------------------------+---------------------+---------------------------------+


  Full Layer Detail
+-------------+----------------------+-----------------------+-----------------+-----------+-----------+----------+-------------+------------+------------+------------+------------+
| Model       | Hardware             | Layer                 | Type            | W (FLOPs) | Q (Bytes) | I (F/B)  | Y (FLOPs/s) | T_compute  | T_memory   | T_actual   | Bottleneck |
+-------------+----------------------+-----------------------+-----------------+-----------+-----------+----------+-------------+------------+------------+------------+------------+
| AlexNet     | Raspberry Pi 4       | features.0            | Conv2d          | 140.7M    | 1.5M      | 95.7662  | 48.00G      | 2.932 ms   | 57.410 us  | 2.932 ms   | compute    |
| AlexNet     | Raspberry Pi 4       | features.1            | ReLU            | 194K      | 1.5M      | 0.1250   | 3.20G       | 60.500 us  | 60.500 us  | 60.500 us  | memory     |
| AlexNet     | Raspberry Pi 4       | features.2            | MaxPool         | 187K      | 961K      | 0.1942   | 4.97G       | 37.540 us  | 37.540 us  | 37.540 us  | memory     |
| AlexNet     | Raspberry Pi 4       | features.3            | Conv2d          | 448.0M    | 2.0M      | 226.7323 | 48.00G      | 9.334 ms   | 77.190 us  | 9.334 ms   | compute    |
| AlexNet     | Raspberry Pi 4       | features.4            | ReLU            | 140K      | 1.1M      | 0.1250   | 3.20G       | 43.740 us  | 43.740 us  | 43.740 us  | memory     |
| AlexNet     | Raspberry Pi 4       | features.5            | MaxPool         | 130K      | 690K      | 0.1882   | 4.82G       | 26.940 us  | 26.940 us  | 26.940 us  | memory     |
| AlexNet     | Raspberry Pi 4       | features.6            | Conv2d          | 224.3M    | 3.0M      | 73.6738  | 48.00G      | 4.674 ms   | 118.950 us | 4.674 ms   | compute    |
| AlexNet     | Raspberry Pi 4       | features.7            | ReLU            | 65K       | 519K      | 0.1250   | 3.20G       | 20.280 us  | 20.280 us  | 20.280 us  | memory     |
| AlexNet     | Raspberry Pi 4       | features.8            | Conv2d          | 299.1M    | 4.0M      | 75.2866  | 48.00G      | 6.231 ms   | 155.180 us | 6.231 ms   | compute    |
| AlexNet     | Raspberry Pi 4       | features.9            | ReLU            | 43K       | 346K      | 0.1250   | 3.20G       | 13.520 us  | 13.520 us  | 13.520 us  | memory     |
| AlexNet     | Raspberry Pi 4       | features.10           | Conv2d          | 199.4M    | 2.7M      | 73.6777  | 48.00G      | 4.154 ms   | 105.720 us | 4.154 ms   | compute    |
| AlexNet     | Raspberry Pi 4       | features.11           | ReLU            | 43K       | 346K      | 0.1250   | 3.20G       | 13.520 us  | 13.520 us  | 13.520 us  | memory     |
| AlexNet     | Raspberry Pi 4       | features.12           | MaxPool         | 37K       | 210K      | 0.1756   | 4.50G       | 8.200 us   | 8.200 us   | 8.200 us   | memory     |
| AlexNet     | Raspberry Pi 4       | avgpool               | AdaptiveAvgPool | 9K        | 74K       | 0.1250   | 3.20G       | 2.880 us   | 2.880 us   | 2.880 us   | memory     |
| AlexNet     | Raspberry Pi 4       | classifier.0          | Dropout         | 0         | 74K       | 0.0000   | 0           | 0 s        | 2.880 us   | 2.880 us   | memory     |
| AlexNet     | Raspberry Pi 4       | classifier.1          | Linear          | 75.5M     | 151.1M    | 0.4998   | 12.79G      | 5.901 ms   | 5.901 ms   | 5.901 ms   | memory     |
| AlexNet     | Raspberry Pi 4       | classifier.2          | ReLU            | 4K        | 33K       | 0.1250   | 3.20G       | 1.280 us   | 1.280 us   | 1.280 us   | memory     |
| AlexNet     | Raspberry Pi 4       | classifier.3          | Dropout         | 0         | 33K       | 0.0000   | 0           | 0 s        | 1.280 us   | 1.280 us   | memory     |
| AlexNet     | Raspberry Pi 4       | classifier.4          | Linear          | 33.6M     | 67.2M     | 0.4997   | 12.79G      | 2.623 ms   | 2.623 ms   | 2.623 ms   | memory     |
| AlexNet     | Raspberry Pi 4       | classifier.5          | ReLU            | 4K        | 33K       | 0.1250   | 3.20G       | 1.280 us   | 1.280 us   | 1.280 us   | memory     |
| AlexNet     | Raspberry Pi 4       | classifier.6          | Linear          | 8.2M      | 16.4M     | 0.4993   | 12.78G      | 640.952 us | 640.952 us | 640.952 us | memory     |
| AlexNet     | Raspberry Pi 5       | features.0            | Conv2d          | 140.7M    | 1.5M      | 95.7662  | 38.40G      | 3.665 ms   | 28.705 us  | 3.665 ms   | compute    |
| AlexNet     | Raspberry Pi 5       | features.1            | ReLU            | 194K      | 1.5M      | 0.1250   | 6.40G       | 30.250 us  | 30.250 us  | 30.250 us  | memory     |
| AlexNet     | Raspberry Pi 5       | features.2            | MaxPool         | 187K      | 961K      | 0.1942   | 9.94G       | 18.770 us  | 18.770 us  | 18.770 us  | memory     |
| AlexNet     | Raspberry Pi 5       | features.3            | Conv2d          | 448.0M    | 2.0M      | 226.7323 | 38.40G      | 11.668 ms  | 38.595 us  | 11.668 ms  | compute    |
| AlexNet     | Raspberry Pi 5       | features.4            | ReLU            | 140K      | 1.1M      | 0.1250   | 6.40G       | 21.870 us  | 21.870 us  | 21.870 us  | memory     |
| AlexNet     | Raspberry Pi 5       | features.5            | MaxPool         | 130K      | 690K      | 0.1882   | 9.64G       | 13.470 us  | 13.470 us  | 13.470 us  | memory     |
| AlexNet     | Raspberry Pi 5       | features.6            | Conv2d          | 224.3M    | 3.0M      | 73.6738  | 38.40G      | 5.842 ms   | 59.475 us  | 5.842 ms   | compute    |
| AlexNet     | Raspberry Pi 5       | features.7            | ReLU            | 65K       | 519K      | 0.1250   | 6.40G       | 10.140 us  | 10.140 us  | 10.140 us  | memory     |
| AlexNet     | Raspberry Pi 5       | features.8            | Conv2d          | 299.1M    | 4.0M      | 75.2866  | 38.40G      | 7.789 ms   | 77.590 us  | 7.789 ms   | compute    |
| AlexNet     | Raspberry Pi 5       | features.9            | ReLU            | 43K       | 346K      | 0.1250   | 6.40G       | 6.760 us   | 6.760 us   | 6.760 us   | memory     |
| AlexNet     | Raspberry Pi 5       | features.10           | Conv2d          | 199.4M    | 2.7M      | 73.6777  | 38.40G      | 5.193 ms   | 52.860 us  | 5.193 ms   | compute    |
| AlexNet     | Raspberry Pi 5       | features.11           | ReLU            | 43K       | 346K      | 0.1250   | 6.40G       | 6.760 us   | 6.760 us   | 6.760 us   | memory     |
| AlexNet     | Raspberry Pi 5       | features.12           | MaxPool         | 37K       | 210K      | 0.1756   | 8.99G       | 4.100 us   | 4.100 us   | 4.100 us   | memory     |
| AlexNet     | Raspberry Pi 5       | avgpool               | AdaptiveAvgPool | 9K        | 74K       | 0.1250   | 6.40G       | 1.440 us   | 1.440 us   | 1.440 us   | memory     |
| AlexNet     | Raspberry Pi 5       | classifier.0          | Dropout         | 0         | 74K       | 0.0000   | 0           | 0 s        | 1.440 us   | 1.440 us   | memory     |
| AlexNet     | Raspberry Pi 5       | classifier.1          | Linear          | 75.5M     | 151.1M    | 0.4998   | 25.59G      | 2.950 ms   | 2.950 ms   | 2.950 ms   | memory     |
| AlexNet     | Raspberry Pi 5       | classifier.2          | ReLU            | 4K        | 33K       | 0.1250   | 6.40G       | 640.00 ns  | 640.00 ns  | 640.00 ns  | memory     |
| AlexNet     | Raspberry Pi 5       | classifier.3          | Dropout         | 0         | 33K       | 0.0000   | 0           | 0 s        | 640.00 ns  | 640.00 ns  | memory     |
